GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.684
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.706
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.72
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.719
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.722
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.73
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.728
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.733
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.734
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.734
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.725
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.734
BEST_GAMMA_EPOCH=2, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.734
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.703
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.713
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.712
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.717
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.728
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.73
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.729
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.732
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.726
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.729
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.727
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.73
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.73
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.736
BEST_GAMMA_EPOCH=3, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.736
GAMMA=0.3333333333333333, ENSEMBLE=depth, VAL_ACC=0.709
GAMMA=0.3333333333333333, ENSEMBLE=entropy, VAL_ACC=0.723
GAMMA=0.5, ENSEMBLE=depth, VAL_ACC=0.717
GAMMA=0.5, ENSEMBLE=entropy, VAL_ACC=0.732
GAMMA=1, ENSEMBLE=depth, VAL_ACC=0.726
GAMMA=1, ENSEMBLE=entropy, VAL_ACC=0.74
GAMMA=1.5, ENSEMBLE=depth, VAL_ACC=0.732
GAMMA=1.5, ENSEMBLE=entropy, VAL_ACC=0.738
GAMMA=2, ENSEMBLE=depth, VAL_ACC=0.733
GAMMA=2, ENSEMBLE=entropy, VAL_ACC=0.735
GAMMA=2.5, ENSEMBLE=depth, VAL_ACC=0.736
GAMMA=2.5, ENSEMBLE=entropy, VAL_ACC=0.733
GAMMA=3, ENSEMBLE=depth, VAL_ACC=0.736
GAMMA=3, ENSEMBLE=entropy, VAL_ACC=0.734
BEST_GAMMA_EPOCH=1, BEST_ENSEMBLE_EPOCH=entropy, BEST_VAL_ACC_EPOCH=0.74

BEST_EPOCH=9, BEST_GAMMA=1, BEST_ENSEMBLE=entropy
TEST_ACC=0.793
